Product,Product type,Issuer,Product description,GICS sector,GICS industry group,GICS industry,GICS sub-industry,Region,Country
FR OTR 30Y,Bond,No Issuer,FR OTR 30Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FR OTR 3M,Bond,No Issuer,FR OTR 3M,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FR OTR 3Y,Bond,No Issuer,FR OTR 3Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FR OTR 4Y,Bond,No Issuer,FR OTR 4Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FR OTR 50Y,Bond,No Issuer,FR OTR 50Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FR OTR 5Y,Bond,No Issuer,FR OTR 5Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FR OTR 6M,Bond,No Issuer,FR OTR 6M,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FR OTR 6Y,Bond,No Issuer,FR OTR 6Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FR OTR 7Y,Bond,No Issuer,FR OTR 7Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FR OTR 8Y,Bond,No Issuer,FR OTR 8Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FR OTR 9M,Bond,No Issuer,FR OTR 9M,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
