Product,Product type,Issuer,Product description,GICS sector,GICS industry group,GICS industry,GICS sub-industry,Region,Country
DGFP 0.75 090928 S,Bond,COFIROUTE,DGFP 0 3/4 09/09/28,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
DHR 0.2 180326,Bond,DH EUROPE FINANCE II,DHR 0.2 03/18/26,Financials,Financials,Financials,Financials,Western Europe,LU
DHR 0.45 180328,Bond,DH EUROPE FINANCE II,DHR 0.45 03/18/28,Financials,Financials,Financials,Financials,Western Europe,LU
DLPH 1.6 150928,Bond,DELPHI AUTOMOTIVE PLC,DLPH 1.6 09/15/28,Financials,Financials,Financials,Financials,No Region,No Country
DNBNO 0.01 210131 S,Bond,DNB BOLIGKREDITT AS,DNBNO 0.01 01/21/31,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NO
DNBNO 0.625 190625 S,Bond,DNB BOLIGKREDITT AS,DNBNO 0 5/8 06/19/25,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NO
DT 0.5 050727 S,Bond,DEUTSCHE TELEKOM AG,DT 0 1/2 07/05/27,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
DT 1.375 300127 S,Bond,DEUTSCHE TELEKOM INTL FIN B V,DT 1 3/8 01/30/27,Communication Services,Communication Services,Communication Services,Communication Services,Western Europe,NL
DT 1.5 030428 S,Bond,DEUTSCHE TELEKOM INTL FIN B V,DT 1 1/2 04/03/28,Communication Services,Communication Services,Communication Services,Communication Services,No Region,No Country
DT 3.25 170128 S,Bond,DEUTSCHE TELEKOM INTL FIN B V,DT 3 1/4 01/17/28,Communication Services,Communication Services,Communication Services,Communication Services,No Region,No Country
DUGB FRN 11/19,Bond,DUBAI DEPARTMENT OF FINANCE SUKUK,DubaiDOFSukuk --- FRN 2009-03.11.19,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Latin America,KY
DZ 4.21 08/23,Bond,DZ BANK AG,DZ 4.21 08/23 - SSD,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
DZ 4.26 11/23,Bond,DZ BANK AG,DZ 4.26 11/23 - SSD,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
DZBK 0 3/34,Bond,DZ BK AG,DZ Bank -- 2004-16.3.34,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
DZBK 0.05 081227 S,Bond,DZ BK AG,DZBK 0.05 12/08/27,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
DZBKLO 0.0 060720,Bond,No Issuer,DZBKLO ECD 0 07/06/20,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,GB
EBRD 5 270125,Bond,No Issuer,EBRD 5 01/27/25,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
EDCONR 3 311222 S,Bond,No Issuer,EDCONR 3 12/31/22,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Africa,ZA
EDF 1 131026 S,Bond,ELECTRICITE DE FRANCE,EDF 1 10/13/26,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
EDF 1 291133 S,Bond,ELECTRICITE DE FRANCE,EDF 1 11/29/33,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
EDF 2.25 270421 S,Bond,Electricite de France,EDF 2 1/4 04/27/21,Utilities,Utilities,Utilities,Utilities,Western Europe,FR
EDF 2.75 100323 S,Bond,ELECTRICITE DE FRANCE,EDF 2 3/4 03/10/23,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
EDF 3.625 131025 S,Bond,ELECTRICITE DE FRANCE,EDF 3 5/8 10/13/25,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
EDF 3.875 180122,Bond,ELECTRICITE DE FRANCE,EDF 3 7/8 01/18/22,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
EDF 4 121125,Bond,ELECTRICITE DE FRANCE,EDF 4 11/12/25,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
EDF 4.25 250132 S,Bond,ELECTRICITE DE FRANCE,EDF 4 1/4 01/25/32,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
EDF 4.375 121029 S,Bond,ELECTRICITE DE FRANCE,EDF 4 3/8 10/12/29,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
EDF 4.625 110924,Bond,ELECTRICITE DE FRANCE,EDF 4 5/8 09/11/24,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
EDF 4.625 260430 S,Bond,ELECTRICITE DE FRANCE,EDF 4 5/8 04/26/30,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
