Product,Product description,GICS sector,GICS industry group,GICS industry,GICS sub-industry,Region,Country
EURO STOXX 50 ETF,EURO STOXX 50 ETF,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ITX.ES,Industria de Diseno Textil SA,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
LIQUID EURO SOVEREIGN I,Euro Government Liquidity Fund I,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,LU
5108.JP,Bridgestone Corp,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Japan,JP
TSE REIT,Tokyo Stock Exchange REIT Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
MICEX,Russian MICEX index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
S&P CNX NIFTY,S&P CNX Nifty Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
BMW.DE,Bayerische Motoren Werke AG,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Western Europe,DE
SAP.DE,SAP SE,Information Technology,Software & Services,Software & Services,Software & Services,Western Europe,DE
MSCI DGSU,MSCI Daily TR Gross Singapore USD,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
FTSE 100,FTSE 100 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
FTSE JSE TOP 40 SW TR,JSE Shareholder Weighted Total Return Index SWIX40,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ALO.FR,Alstom SA,Industrials,Industrials,Industrials,Industrials,Western Europe,FR
KOSPI 200,Korea Stock Price Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
6201.JP,Toyota Industries Corp,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Japan,JP
MUREX SOLUTIONS EUR BALANCED A,MUREX SOLUTIONS EUR BALANCED A,Financials,Banks,Banks,Banks,Western Europe,LU
SAN.FR,Sanofi,Health Care,Health Care,Health Care,Health Care,Western Europe,FR
DJ EURO STOXX 600,STOXX Europe 600 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
HLTH.US,HLTH Corp,Health Care,Health Care,Health Care,Health Care,North America,US
MMM.US,3M Co,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
FTSE EPRA,FTSE EPRA/NAREIT Global Real Estate Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
HO.FR,Thales SA,Industrials,Industrials,Industrials,Industrials,Western Europe,FR
ABERDEEN ASIA PACIFIC EQUITY,Aberdeen Standard SICAV I Asia Pacisifc Eq Fund A Acc USD,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,LU
MSCI SG,MSCI Singapore Free Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
TEP.FR,Teleperformance,Information Technology,Technology Hardware & Equipment,Technology Hardware & Equipment,Technology Hardware & Equipment,Western Europe,FR
ML.FR,Cie Generale des Etablissements Michelin SCA,Consumer Staples,Consumer Staples,Consumer Staples,Consumer Staples,Western Europe,FR
CAC 40 ETF,CAC 40 ETF,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
MC.FR,LVMH Moet Hennessy Louis Vuitton SE,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
RI.FR,Pernod Ricard SA,Consumer Staples,Consumer Staples,Consumer Staples,Consumer Staples,Western Europe,FR
FIVE STAR SELECTION B,Five Star Selection Fund,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
FUND A,FUND A,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
FRE.DE,Fresenius SE & Co KGaA,Industrials,Industrials,Industrials,Industrials,Western Europe,DE
URW.NL,Unibail-Rodamco-Westfield,Financials,Financials,Financials,Financials,Western Europe,FR
ECPI CIRCULAR LEADERS C,ECPI CIRCULAR LEADERS C,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
NOKIA.FI,Nokia Oyj,Information Technology,Information Technology,Information Technology,Information Technology,Western Europe,FI
6902.JP,Denso Corp,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Japan,JP
VIV.FR,Vivendi SA,Communication Services,Communication Services,Communication Services,Communication Services,Western Europe,FR
VFC.US,VF Corp,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
DJ EURO STOXX UTILITIES,DJ Euro STOXX Utilities Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
CAP.FR,Capgemini SE,Information Technology,Software & Services,Software & Services,Software & Services,Western Europe,FR
S&P 400 MIDCAP,Standard & Poor's Midcap 400 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
IBRX 50,Brazil 50 Index - IBrX 50,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
TJX.US,TJX Cos Inc/The,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
3407.JP,Asahi Kasei Corp,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Japan,JP
LIQUID EURO SOVEREIGN 2 A,Euro Government Liquidity 2 Fund A,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,LU
DJ STOXX 50,DJ Stoxx 50,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
NORDEA LATAM EQ FUND,Nordea 1 - Latin American Equity Fund BI EUR,Financials,Financials,Financials,Financials,Western Europe,LU
DJIA 30,Dow Jones Industrial Average Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
GM.US,General Motors Corp,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
SU.FR,Schneider Electric SE,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
BP.GB,BP PLC,Energy,Energy,"Oil, Gas & Consumable Fuels","Oil, Gas & Consumable Fuels",Western Europe,GB
HSCEI,Hang Seng China Enterprises Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
TGT.US,Target Corp,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
SAF.FR,Safran SA,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
EN.FR,Bouygues SA,Communication Services,Telecommunication Services,Telecommunication Services,Telecommunication Services,Western Europe,FR
BAILLIE GIFFORD US EQ GROWTH FUND,Baillie Gifford Worldwide US Equity Growth Fund Class B EUR,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IE
DBK.DE,Deutsche Bank AG,Financials,Banks,Banks,Banks,No Region,No Country
FTSE 250,FTSE 250 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ASML.US,ASML.US - ASML Holding NV,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
DAI.DE,Daimler AG,Consumer Discretionary,Automobiles & Components,Automobiles & Components,Automobiles & Components,Western Europe,DE
WIG 20,WIG 20 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
IBOXX EUR CORP,Iboxx EUR Corp Total Return Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
TOPIX,Tokyo Stock Price Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ERF.FR,Eurofins Scientific SE,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,Western Europe,FR
GIS.US,General Mills Inc,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
DJ EURO 50,DJ Euro STOXX 50,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
SPI 200,ASX SPI 200 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
HSBC HOLDINGS PLC,HSBC Holdings PLC,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,GB
SMI,Swiss Market Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
NASDAQ 100,NASDAQ 100 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
FTSE JSE TOP 40,FTSE/JSE Africa Top 40 J200,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
INGA.NL,ING Groep NV,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ENGI.FR,Engie SA,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FTSE A50,FTSE China A50 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
WLN.FR,Worldline SA/France,Industrials,Industrials,Industrials,Industrials,Western Europe,FR
EOAN.DE,E.ON SE,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
COMGEST EQ GROWTH ASIA,Comgest Growth Asia EUR I Acc,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
DG.FR,Vinci SA,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
DJ EURO STOXX TECHNOLOGY,DJ Euro STOXX Technology Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
VOW3.DE,Volkswagen AG,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
NIKKEI 225,Nikkei Stock Average (Nikkei 225),No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
BN.FR,Danone SA,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
NKE.US,NIKE Inc,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
GLOBAL CORP BOND - A,GLOBAL CORP BOND - A,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
REL.GB,RELX PLC,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,GB
VIX S&P 500,USD volatility index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
MEX BOLSA,S&P / BMV IPC Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Latin America,MX
IBOVESPA,Sao Paolo Stock Exchange Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
CS.FR,AXA SA,Financials,Insurance,Insurance,Insurance,Western Europe,FR
ASML.NL,ASML.NL - ASML Holding NV,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Western Europe,NL
OBX,OBX Total Return Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ENEL.IT,Enel SpA,Utilities,Utilities,Utilities,Utilities,Western Europe,IT
7201.JP,Nissan Motor Co Ltd,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Japan,JP
UPM.FI,UPM-Kymmene Oyj,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FI
ISP.IT,Intesa Sanpaolo SpA,Financials,Financials,Financials,Financials,Western Europe,IT
AD.NL,Koninklijke Ahold Delhaize NV,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Western Europe,NL
MSCI WO,MSCI World Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
FIDELITY FAST UK FUND,Fidelity Active Strategy - FAST - UK Fund Y-ACC-GBB,Financials,Banks,Banks,Banks,Western Europe,LU
DPW.DE,Deutsche Post AG,Industrials,Industrials,Industrials,Industrials,Western Europe,DE
AF.FR,Air France,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
AEX,AEX Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
IBE.ES,Iberdrola SA,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
PHIA.NL,Koninklijke Philips NV,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
DTE.DE,Deutsche Telekom AG,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
EUROZONE LARGE CAP EQUITY - A,EUROZONE LARGE CAP EQUITY - A,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
KO.US,Coca-Cola Co/The,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
BBVA.ES,Banco Bilbao Vizcaya Argentaria SA,Financials,Financials,Financials,Financials,Western Europe,ES
CAC 40,CAC 40 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
MIB 30,MIB 30 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
PPG.US,PPG Industries Inc,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
LR.FR,Legrand SA,Consumer Staples,Consumer Staples,Consumer Staples,Consumer Staples,Western Europe,FR
NS3.CH,NS3.CH - NESTLE,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,CH
ATX,Austrian Traded Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
XTRACKERS EURO STOXX 50 UCITS ETF,Xtrackers Euro Stoxx 50 UCITS ETF,Financials,Financials,Financials,Financials,Western Europe,LU
EQUITY WITHOUT ISIN,CARREFOUR,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ACA.FR,Credit Agricole SA,Financials,Financials,Financials,Financials,Western Europe,FR
EL.FR,EssilorLuxottica SA,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies,Western Europe,FR
DSM.NL,Koninklijke DSM NV,Industrials,Industrials,Industrials,Industrials,Western Europe,NL
SGO.FR,Cie de Saint-Gobain,Industrials,Industrials,Industrials,Industrials,Western Europe,FR
S&P LV5UT,S&P 500 Low Volatility 5% USD Total Return Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
DGE.GB,Diageo PLC,Consumer Discretionary,Consumer Services,Consumer Services,Consumer Services,Western Europe,GB
S&P MIB,S&P/MIB Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IT
EURO EQUITY LARGE CAP A,Intl Fund Euro Large Cap A,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,LU
CAT.US,Caterpillar Inc,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
BEL 20,BEL 20 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
VIE.FR,Veolia Environnement SA,Utilities,Utilities,Utilities,Utilities,Western Europe,FR
LIN.DE,Linde PLC,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
